0,0.018607867,2.52E-05
5,1.523688265,0.001397329
10,1.561793075,0.001412401
15,1.574611793,0.001181554
20,1.582354734,0.001157818
25,1.586750747,0.001086789
30,1.587941898,0.001488819
35,1.589341504,0.001517077
40,1.589929851,0.001578794
45,1.591758574,0.001509254
50,1.590876056,0.001748571
55,1.590575628,0.001707671
60,1.59083875,0.001648692
65,1.590272566,0.001764626
70,1.589936935,0.001548665
75,1.58862301,0.001468166
80,1.588031105,0.001504145
85,1.587025349,0.001344561
90,1.587408614,0.001501713
95,1.586173172,0.001410086
100,1.58691847,0.001394945
